conference,year,title,abstract,authors,paper_url,pdf_url,source
ICLR,2016,Reducing Overfitting in Deep Networks by Decorrelating Representations,,Michael Cogswell; Faruk Ahmed; Ross Girshick; Larry Zitnick; Dhruv Batra,http://arxiv.org/abs/1511.06068,https://arxiv.org/pdf/1511.06068.pdf,iclr_archive
ICLR,2016,Pushing the Boundaries of Boundary Detection using Deep Learning,,Iasonas Kokkinos,http://arxiv.org/abs/1511.07386,https://arxiv.org/pdf/1511.07386.pdf,iclr_archive
ICLR,2016,Generating Images from Captions with Attention,,Elman Mansimov; Emilio Parisotto; Jimmy Ba; Ruslan Salakhutdinov,http://arxiv.org/abs/1511.02793,https://arxiv.org/pdf/1511.02793.pdf,iclr_archive
ICLR,2016,Reasoning about Entailment with Neural Attention,,Tim Rocktäschel; Edward Grefenstette; Karl Moritz Hermann; Tomáš Kočiský; Phil Blunsom,http://arxiv.org/abs/1509.06664,https://arxiv.org/pdf/1509.06664.pdf,iclr_archive
ICLR,2016,Convolutional Neural Networks With Low-rank Regularization,,Cheng Tai; Tong Xiao; Yi Zhang; Xiaogang Wang; Weinan E,http://arxiv.org/abs/1511.06067,https://arxiv.org/pdf/1511.06067.pdf,iclr_archive
ICLR,2016,Unifying distillation and privileged information,,David Lopez-Paz; Leon Bottou; Bernhard Schölkopf; Vladimir Vapnik,http://arxiv.org/abs/1511.03643,https://arxiv.org/pdf/1511.03643.pdf,iclr_archive
ICLR,2016,Particular object retrieval with integral max-pooling of CNN activations,,[code] Giorgos Tolias; Ronan Sicre; Hervé Jégou,http://arxiv.org/abs/1511.05879,https://arxiv.org/pdf/1511.05879.pdf,iclr_archive
ICLR,2016,All you need is a good init,,[code] Dmytro Mishkin; Jiri Matas,http://arxiv.org/abs/1511.06422,https://arxiv.org/pdf/1511.06422.pdf,iclr_archive
ICLR,2016,Bayesian Representation Learning with Oracle Constraints,,Theofanis Karaletsos; Serge Belongie; Gunnar Rätsch,http://arxiv.org/abs/1506.05011,https://arxiv.org/pdf/1506.05011.pdf,iclr_archive
ICLR,2016,Neural Programmer: Inducing Latent Programs with Gradient Descent,,Arvind Neelakantan; Quoc Le; Ilya Sutskever,http://arxiv.org/abs/1511.04834,https://arxiv.org/pdf/1511.04834.pdf,iclr_archive
ICLR,2016,Towards Universal Paraphrastic Sentence Embeddings,,[code] John Wieting; Mohit Bansal; Kevin Gimpel; Karen Livescu,http://arxiv.org/abs/1511.08198,https://arxiv.org/pdf/1511.08198.pdf,iclr_archive
ICLR,2016,Regularizing RNNs by Stabilizing Activations,,David Krueger; Roland Memisevic,http://arxiv.org/abs/1511.08400,https://arxiv.org/pdf/1511.08400.pdf,iclr_archive
